,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
26,,,,,,,,,,-34.741253,-33.619698,-33.167107,-32.83247,-32.559887,-32.327587,-32.124348,-31.943459,-31.780571,-31.632616,-31.497366,-31.373135,-31.258602,-31.152744,-31.054707,-30.963793,-30.879425,-30.801111,-30.728443,-30.661066,-30.598667,-30.540985,-30.487785,-30.438873,-30.39407,-30.353218,-30.316187,-30.282856,-30.253124,-30.226904,-30.204119,-30.184704,-30.168602,-30.155773,-30.146181,-30.139801,-30.136616,-30.136616,-30.139801,-30.146181,-30.155773,-30.168602,-30.184704,-30.204119,-30.226904,-30.253124,-30.282856,-30.316187,-30.353218,-30.39407,-30.438873,-30.487785,-30.540985,-30.598667,-30.661066,-30.728443,-30.801111,-30.879425,-30.963793,-31.054707,-31.152744,-31.258602,-31.373135,-31.497366,-31.632616,-31.780571,-31.943459,-32.124348,-32.327587,-32.559887,-32.83247,-33.167107,-33.619698,-34.741253,,,,,,,,,
27,,,,,,,,,,-32.32156,-31.823744,-31.477083,-31.200716,-30.967745,-30.76522,-30.585712,-30.424467,-30.278267,-30.14476,-30.0222,-29.909233,-29.804787,-29.708017,-29.618212,-29.534786,-29.457245,-29.38517,-29.318214,-29.256067,-29.19846,-29.145163,-29.09597,-29.050713,-29.009233,-28.971394,-28.937077,-28.906176,-28.878603,-28.854279,-28.833136,-28.815115,-28.800167,-28.788256,-28.779348,-28.773424,-28.770466,-28.770466,-28.773424,-28.779348,-28.788256,-28.800167,-28.815115,-28.833136,-28.854279,-28.878603,-28.906176,-28.937077,-28.971394,-29.009233,-29.050713,-29.09597,-29.145163,-29.19846,-29.256067,-29.318214,-29.38517,-29.457245,-29.534786,-29.618212,-29.708017,-29.804787,-29.909233,-30.0222,-30.14476,-30.278267,-30.424467,-30.585712,-30.76522,-30.967745,-31.200716,-31.477083,-31.823744,-32.32156,,,,,,,,,
28,,,,,,,,,-31.118036,-30.523024,-30.155693,-29.872116,-29.63669,-29.4338,-29.25494,-29.094868,-28.950054,-28.818037,-28.696964,-28.585428,-28.482328,-28.386774,-28.298061,-28.215588,-28.138855,-28.067442,-28.000984,-27.939184,-27.88177,-27.828505,-27.77919,-27.733644,-27.69172,-27.653273,-27.618183,-27.586348,-27.55767,-27.532076,-27.50949,-27.489853,-27.47311,-27.459223,-27.448154,-27.439878,-27.43437,-27.431622,-27.431622,-27.43437,-27.439878,-27.448154,-27.459223,-27.47311,-27.489853,-27.50949,-27.532076,-27.55767,-27.586348,-27.618183,-27.653273,-27.69172,-27.733644,-27.77919,-27.828505,-27.88177,-27.939184,-28.000984,-28.067442,-28.138855,-28.215588,-28.298061,-28.386774,-28.482328,-28.585428,-28.696964,-28.818037,-28.950054,-29.094868,-29.25494,-29.4338,-29.63669,-29.872116,-30.155693,-30.523024,-31.118036,,,,,,,,
29,,,,,,,,,-29.27129,-28.867773,-28.572212,-28.332071,-28.127554,-27.94856,-27.789125,-27.645363,-27.514574,-27.394814,-27.284592,-27.182758,-27.088398,-27.000767,-26.919264,-26.84338,-26.772684,-26.706814,-26.645452,-26.588339,-26.535234,-26.485935,-26.440262,-26.398056,-26.359184,-26.32352,-26.29096,-26.261408,-26.23478,-26.211004,-26.190022,-26.171772,-26.156212,-26.143303,-26.133013,-26.125317,-26.120195,-26.117638,-26.117638,-26.120195,-26.125317,-26.133013,-26.143303,-26.156212,-26.171772,-26.190022,-26.211004,-26.23478,-26.261408,-26.29096,-26.32352,-26.359184,-26.398056,-26.440262,-26.485935,-26.535234,-26.588339,-26.645452,-26.706814,-26.772684,-26.84338,-26.919264,-27.000767,-27.088398,-27.182758,-27.284592,-27.394814,-27.514574,-27.645363,-27.789125,-27.94856,-28.127554,-28.332071,-28.572212,-28.867773,-29.27129,,,,,,,,
30,,,,,,,,-28.090633,-27.615154,-27.29995,-27.05208,-26.844357,-26.664316,-26.50494,-26.36184,-26.23204,-26.113415,-26.004396,-25.903765,-25.810562,-25.724022,-25.64351,-25.568518,-25.498602,-25.433392,-25.372572,-25.315863,-25.263039,-25.213888,-25.16823,-25.125906,-25.086775,-25.05072,-25.017628,-24.987402,-24.95996,-24.935226,-24.91314,-24.893639,-24.876678,-24.862213,-24.850212,-24.840643,-24.833487,-24.828724,-24.826347,-24.826347,-24.828724,-24.833487,-24.840643,-24.850212,-24.862213,-24.876678,-24.893639,-24.91314,-24.935226,-24.95996,-24.987402,-25.017628,-25.05072,-25.086775,-25.125906,-25.16823,-25.213888,-25.263039,-25.315863,-25.372572,-25.433392,-25.498602,-25.568518,-25.64351,-25.724022,-25.810562,-25.903765,-26.004396,-26.113415,-26.23204,-26.36184,-26.50494,-26.664316,-26.844357,-27.05208,-27.29995,-27.615154,-28.090633,,,,,,,
31,,,,,,,-27.146622,-26.404583,-26.055613,-25.795444,-25.582468,-25.400234,-25.240248,-25.097383,-24.968294,-24.850643,-24.742712,-24.64322,-24.551153,-24.465704,-24.386223,-24.312164,-24.243093,-24.178625,-24.118433,-24.062244,-24.009813,-23.960938,-23.915432,-23.873138,-23.833912,-23.797628,-23.764183,-23.733477,-23.705421,-23.679941,-23.656971,-23.636452,-23.618334,-23.602571,-23.589128,-23.57797,-23.569077,-23.562422,-23.557995,-23.555784,-23.555784,-23.557995,-23.562422,-23.569077,-23.57797,-23.589128,-23.602571,-23.618334,-23.636452,-23.656971,-23.679941,-23.705421,-23.733477,-23.764183,-23.797628,-23.833912,-23.873138,-23.915432,-23.960938,-24.009813,-24.062244,-24.118433,-24.178625,-24.243093,-24.312164,-24.386223,-24.465704,-24.551153,-24.64322,-24.742712,-24.850643,-24.968294,-25.097383,-25.240248,-25.400234,-25.582468,-25.795444,-26.055613,-26.404583,-27.146622,,,,,,
32,,,,,,,-25.258656,-24.841866,-24.561794,-24.340557,-24.15468,-23.993238,-23.850115,-23.72143,-23.604555,-23.497614,-23.399197,-23.308243,-23.223896,-23.145472,-23.072412,-23.004248,-22.9406,-22.881134,-22.825563,-22.773647,-22.725168,-22.67995,-22.637827,-22.598656,-22.56231,-22.528677,-22.497663,-22.46918,-22.443148,-22.4195,-22.398176,-22.379124,-22.362299,-22.347658,-22.33517,-22.324806,-22.316542,-22.310358,-22.306246,-22.30419,-22.30419,-22.306246,-22.310358,-22.316542,-22.324806,-22.33517,-22.347658,-22.362299,-22.379124,-22.398176,-22.4195,-22.443148,-22.46918,-22.497663,-22.528677,-22.56231,-22.598656,-22.637827,-22.67995,-22.725168,-22.773647,-22.825563,-22.881134,-22.9406,-23.004248,-23.072412,-23.145472,-23.223896,-23.308243,-23.399197,-23.497614,-23.604555,-23.72143,-23.850115,-23.993238,-24.15468,-24.340557,-24.561794,-24.841866,-25.258656,,,,,,
33,,,,,,-24.38966,-23.667118,-23.35212,-23.117903,-22.926289,-22.762339,-22.618334,-22.489689,-22.373377,-22.267294,-22.169907,-22.080042,-21.996809,-21.91948,-21.84747,-21.780294,-21.717548,-21.658901,-21.604055,-21.552765,-21.504814,-21.460009,-21.418194,-21.379223,-21.342964,-21.30931,-21.278156,-21.249418,-21.223017,-21.198883,-21.176954,-21.157175,-21.1395,-21.123888,-21.110302,-21.098713,-21.089092,-21.08142,-21.075682,-21.071861,-21.069954,-21.069954,-21.071861,-21.075682,-21.08142,-21.089092,-21.098713,-21.110302,-21.123888,-21.1395,-21.157175,-21.176954,-21.198883,-21.223017,-21.249418,-21.278156,-21.30931,-21.342964,-21.379223,-21.418194,-21.460009,-21.504814,-21.552765,-21.604055,-21.658901,-21.717548,-21.780294,-21.84747,-21.91948,-21.996809,-22.080042,-22.169907,-22.267294,-22.373377,-22.489689,-22.618334,-22.762339,-22.926289,-23.117903,-23.35212,-23.667118,-24.38966,,,,,
34,,,,,,-22.561285,-22.170313,-21.91468,-21.71416,-21.546196,-21.400536,-21.271475,-21.15547,-21.050106,-20.953672,-20.864893,-20.782785,-20.706593,-20.635693,-20.569578,-20.507832,-20.450096,-20.396086,-20.345537,-20.298231,-20.253977,-20.212605,-20.173973,-20.137953,-20.104427,-20.073298,-20.04447,-20.017872,-19.993431,-19.971083,-19.950771,-19.932447,-19.916073,-19.901606,-19.889015,-19.878271,-19.869354,-19.862242,-19.856922,-19.85338,-19.851612,-19.851612,-19.85338,-19.856922,-19.862242,-19.869354,-19.878271,-19.889015,-19.901606,-19.916073,-19.932447,-19.950771,-19.971083,-19.993431,-20.017872,-20.04447,-20.073298,-20.104427,-20.137953,-20.173973,-20.212605,-20.253977,-20.298231,-20.345537,-20.396086,-20.450096,-20.507832,-20.569578,-20.635693,-20.706593,-20.782785,-20.864893,-20.953672,-21.050106,-21.15547,-21.271475,-21.400536,-21.546196,-21.71416,-21.91468,-22.170313,-22.561285,,,,,
35,,,,,,-21.02838,-20.732763,-20.518003,-20.3438,-20.195383,-20.065342,-19.949314,-19.844501,-19.748941,-19.66122,-19.580269,-19.505255,-19.435532,-19.37056,-19.309902,-19.253193,-19.20012,-19.150433,-19.103897,-19.06032,-19.019531,-18.98138,-18.945742,-18.912497,-18.881544,-18.852795,-18.826164,-18.801586,-18.778994,-18.758333,-18.739552,-18.722607,-18.70746,-18.694077,-18.682428,-18.67249,-18.664236,-18.657656,-18.65273,-18.649454,-18.647818,-18.647818,-18.649454,-18.65273,-18.657656,-18.664236,-18.67249,-18.682428,-18.694077,-18.70746,-18.722607,-18.739552,-18.758333,-18.778994,-18.801586,-18.826164,-18.852795,-18.881544,-18.912497,-18.945742,-18.98138,-19.019531,-19.06032,-19.103897,-19.150433,-19.20012,-19.253193,-19.309902,-19.37056,-19.435532,-19.505255,-19.580269,-19.66122,-19.748941,-19.844501,-19.949314,-20.065342,-20.195383,-20.3438,-20.518003,-20.732763,-21.02838,,,,,
