,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
26,,,,,,,,,,-126.28313,-113.678474,-108.427956,-104.43051,-101.075356,-98.12662,-95.46358,-93.01446,-90.73306,-88.58688,-86.55241,-84.61189,-82.751396,-80.960236,-79.229355,-77.55137,-75.92012,-74.33023,-72.777435,-71.257706,-69.767586,-68.304054,-66.86428,-65.446045,-64.047035,-62.665222,-61.298756,-59.945824,-58.605026,-57.27476,-55.953617,-54.640247,-53.333263,-52.03162,-50.734024,-49.439293,-48.146275,-46.853725,-45.560707,-44.265976,-42.96838,-41.666737,-40.359753,-39.046383,-37.72524,-36.394974,-35.054176,-33.701244,-32.334778,-30.952967,-29.553953,-28.13572,-26.695946,-25.232412,-23.742298,-22.222563,-20.66977,-19.079882,-17.448631,-15.770649,-14.039761,-12.248601,-10.388108,-8.44759,-6.4131145,-4.266936,-1.9855428,0.4635735,3.1266167,6.0753546,9.4305105,13.427957,18.678474,31.28313,,,,,,,,,
27,,,,,,,,,,-116.18885,-110.23511,-105.968895,-102.4674,-99.426216,-96.69993,-94.205605,-91.890495,-89.71911,-87.66556,-85.71065,-83.839584,-82.04055,-80.304375,-78.623184,-76.99049,-75.40084,-73.84943,-72.33242,-70.84617,-69.38754,-67.953766,-66.542244,-65.15095,-63.777706,-62.420662,-61.078083,-59.748264,-58.429913,-57.12152,-55.821754,-54.529343,-53.242977,-51.96168,-50.68421,-49.409466,-48.13634,-46.86366,-45.590534,-44.31579,-43.03832,-41.757023,-40.470657,-39.178246,-37.87848,-36.570087,-35.251736,-33.921917,-32.579338,-31.222292,-29.849054,-28.457752,-27.04623,-25.612457,-24.153833,-22.667582,-21.150576,-19.599155,-18.009504,-16.376816,-14.695622,-12.959453,-11.160417,-9.289353,-7.3344417,-5.280892,-3.1095066,-0.794392,1.6999278,4.4262133,7.467397,10.968892,15.235107,21.188854,,,,,,,,,
28,,,,,,,,,-119.699615,-112.357796,-107.69572,-103.993286,-100.82908,-98.019585,-95.465614,-93.10627,-90.90087,-88.82114,-86.84582,-84.95885,-83.14763,-81.40195,-79.71383,-78.0763,-76.483604,-74.93084,-73.41365,-71.92861,-70.47234,-69.04201,-67.635025,-66.24899,-64.882034,-63.53214,-62.19756,-60.87667,-59.56788,-58.269962,-56.981503,-55.701233,-54.42796,-53.160427,-51.89772,-50.63866,-49.382183,-48.127254,-46.872746,-45.617817,-44.36134,-43.10228,-41.839573,-40.57204,-39.298767,-38.018497,-36.730038,-35.43212,-34.12333,-32.80244,-31.467861,-30.117968,-28.75101,-27.364979,-25.957996,-24.527653,-23.071392,-21.586346,-20.069164,-18.516397,-16.923702,-15.286174,-13.598055,-11.852374,-10.041157,-8.154184,-6.178866,-4.0991316,-1.8937287,0.46561074,3.019587,5.8290777,8.993289,12.695719,17.3578,24.699614,,,,,,,,
29,,,,,,,,,-114.947716,-109.65951,-105.67757,-102.34976,-99.43236,-96.8018,-94.38561,-92.13686,-90.022995,-88.0208,-86.112404,-84.28408,-82.52492,-80.82594,-79.18012,-77.581215,-76.02404,-74.50415,-73.01759,-71.56122,-70.13193,-68.72708,-67.3443,-65.98134,-64.63646,-63.307762,-61.993614,-60.692482,-59.40285,-58.12359,-56.85333,-55.590885,-54.33511,-53.084816,-51.83913,-50.596924,-49.35719,-48.11893,-46.88107,-45.64281,-44.403076,-43.16087,-41.915184,-40.66489,-39.409115,-38.14667,-36.87641,-35.59715,-34.307518,-33.006386,-31.692236,-30.36354,-29.018658,-27.655699,-26.272919,-24.868073,-23.438784,-21.982405,-20.495846,-18.975962,-17.418787,-15.819879,-14.174057,-12.475084,-10.715922,-8.8876,-6.979205,-4.977007,-2.8631337,-0.6143889,1.8018042,4.4323564,7.349766,10.677569,14.659505,19.94772,,,,,,,,
30,,,,,,,,-118.38831,-111.94532,-107.55658,-104.009254,-100.951645,-98.22369,-95.73587,-93.432495,-91.27605,-89.23966,-87.30387,-85.453316,-83.67607,-81.96254,-80.30474,-78.69637,-77.131805,-75.60634,-74.11589,-72.65683,-71.226265,-69.82131,-68.43952,-67.07867,-65.73665,-64.41183,-63.10243,-61.806896,-60.52379,-59.25166,-57.989445,-56.73584,-55.48971,-54.249966,-53.015465,-51.785385,-50.558636,-49.33426,-48.111294,-46.888706,-45.66574,-44.441364,-43.214615,-41.984535,-40.750034,-39.51029,-38.26416,-37.010555,-35.74834,-34.47621,-33.193104,-31.897572,-30.588173,-29.263353,-27.921331,-26.56048,-25.178688,-23.773739,-22.343168,-20.884108,-19.393663,-17.86819,-16.303625,-14.695262,-13.037457,-11.323926,-9.546683,-7.6961327,-5.760335,-3.7239568,-1.5675045,0.73587114,3.2236881,5.9516444,9.009254,12.556577,16.945318,23.38831,,,,,,,
31,,,,,,,-125.12001,-114.71976,-109.689415,-105.837166,-102.596115,-99.743835,-97.16628,-94.79509,-92.58578,-90.50746,-88.537476,-86.6591,-84.85896,-83.12653,-81.453255,-79.83193,-78.256905,-76.723015,-75.225945,-73.761955,-72.32767,-70.9204,-69.53747,-68.176575,-66.83563,-65.51266,-64.20611,-62.914295,-61.635757,-60.369118,-59.113,-57.866383,-56.628033,-55.396854,-54.17181,-52.9518,-51.73604,-50.523483,-49.3132,-48.10428,-46.89572,-45.6868,-44.476517,-43.26396,-42.0482,-40.82819,-39.603146,-38.371967,-37.133617,-35.887,-34.630882,-33.364243,-32.085705,-30.793896,-29.487347,-28.164366,-26.823423,-25.462528,-24.079601,-22.672333,-21.238043,-19.774055,-18.276987,-16.743095,-15.168067,-13.546749,-11.873467,-10.141035,-8.3408985,-6.4625263,-4.492536,-2.4142191,-0.20491287,2.1662858,4.7438335,7.5961123,10.83717,14.689411,19.719753,30.120012,,,,,,
32,,,,,,,-118.410515,-112.17889,-107.87945,-104.391266,-101.37933,-98.68883,-96.23368,-93.95952,-91.82977,-89.81836,-87.90578,-86.07746,-84.32156,-82.62867,-80.99107,-79.40224,-77.85699,-76.35059,-74.87905,-73.4389,-72.026985,-70.64081,-69.27784,-67.93592,-66.61309,-65.30745,-64.017555,-62.74181,-61.478798,-60.22722,-58.985752,-57.753426,-56.529057,-55.311592,-54.100037,-52.893326,-51.690712,-50.491188,-49.293858,-48.097836,-46.902164,-45.706142,-44.508812,-43.309288,-42.106674,-40.899963,-39.688408,-38.470943,-37.246574,-36.014248,-34.77278,-33.521202,-32.25819,-30.982443,-29.692553,-28.386911,-27.064075,-25.722158,-24.359196,-22.973015,-21.561096,-20.120947,-18.649408,-17.14301,-15.597764,-14.008926,-12.371329,-10.678436,-8.922537,-7.09422,-5.18164,-3.1702304,-1.0404812,1.2336805,3.6888268,6.37933,9.391266,12.879449,17.178886,23.410513,,,,,,
33,,,,,,-126.44534,-115.235535,-110.210495,-106.37529,-103.15292,-100.31944,-97.75978,-95.40613,-93.21387,-91.15215,-89.19856,-87.336,-85.5516,-83.834724,-82.17688,-80.571045,-79.01122,-77.49267,-76.01098,-74.56244,-73.143814,-71.75214,-70.38507,-69.04023,-67.71557,-66.40922,-65.119385,-63.844696,-62.58362,-61.334805,-60.097008,-58.868958,-57.649727,-56.438175,-55.23329,-54.03411,-52.83961,-51.64907,-50.461517,-49.276085,-48.09192,-46.90808,-45.723915,-44.538483,-43.35093,-42.16039,-40.96589,-39.76671,-38.561825,-37.350273,-36.131042,-34.902992,-33.665195,-32.41638,-31.155304,-29.880617,-28.59078,-27.284431,-25.959768,-24.614931,-23.247864,-21.856184,-20.43756,-18.989023,-17.507332,-15.988776,-14.428956,-12.823123,-11.165279,-9.448405,-7.663999,-5.8014393,-3.8478446,-1.7861359,0.40612867,2.759782,5.319442,8.152926,11.375292,15.210498,20.235537,31.445341,,,,,
34,,,,,,-119.46336,-112.96625,-108.60719,-105.09785,-102.07897,-99.38851,-96.936775,-94.6685,-92.54613,-90.54313,-88.63985,-86.82113,-85.07543,-83.393135,-81.76647,-80.189,-78.655174,-77.16059,-75.70115,-74.27337,-72.87421,-71.50086,-70.15114,-68.82277,-67.5138,-66.22247,-64.94705,-63.68624,-62.438564,-61.202736,-59.97755,-58.761784,-57.554554,-56.35475,-55.161407,-53.97358,-52.790287,-51.610832,-50.43427,-49.259758,-48.08648,-46.91352,-45.740242,-44.56573,-43.389168,-42.209713,-41.02642,-39.838593,-38.64525,-37.445446,-36.238216,-35.02245,-33.797264,-32.561436,-31.313759,-30.05295,-28.777529,-27.486197,-26.177233,-24.848864,-23.499138,-22.125793,-20.726631,-19.298853,-17.839409,-16.344828,-14.810999,-13.233527,-11.606865,-9.924565,-8.178869,-6.3601503,-4.456874,-2.4538713,-0.3314972,1.9367788,4.388515,7.07897,10.097849,13.607193,17.966251,24.463364,,,,,
35,,,,,,-116.45251,-111.187454,-107.26371,-103.99726,-101.13934,-98.56598,-96.204605,-94.00895,-91.94674,-89.99474,-88.135506,-86.355385,-84.64394,-82.99237,-81.393524,-79.84143,-78.330925,-76.85791,-75.418526,-74.0095,-72.627945,-71.27122,-69.93723,-68.62383,-67.329155,-66.0515,-64.78922,-63.54108,-62.305645,-61.081684,-59.868034,-58.663513,-57.46727,-56.278233,-55.09546,-53.918045,-52.74503,-51.57574,-50.409264,-49.24478,-48.08149,-46.91851,-45.75522,-44.590736,-43.42426,-42.25497,-41.081955,-39.90454,-38.721767,-37.53273,-36.336487,-35.131966,-33.918316,-32.694355,-31.458921,-30.210777,-28.9485,-27.670847,-26.376167,-25.062767,-23.728783,-22.372055,-20.990505,-19.581476,-18.14209,-16.669075,-15.158568,-13.606476,-12.0076275,-10.356054,-8.644614,-6.864497,-5.0052586,-3.0532584,-0.9910471,1.2046016,3.5659795,6.1393447,8.997261,12.263711,16.187452,21.452507,,,,,
